KO ID	Name	Definition	Gene Count	
KO:K02072	metI	D-methionine transport system permease protein	1	
KO:K02073	metQ	D-methionine transport system substrate-binding protein	1	
KO:K02078	acpP	acyl carrier protein	1	
KO:K02106	atoE	short-chain fatty acids transporter	1	
KO:K02108	ATPF0A, atpB	F-type H+-transporting ATPase subunit a	1	
KO:K02109	ATPF0B, atpF	F-type H+-transporting ATPase subunit b	2	
KO:K02110	ATPF0C, atpE	F-type H+-transporting ATPase subunit c	1	
KO:K02111	ATPF1A, atpA	F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1]	1	
KO:K02112	ATPF1B, atpD	F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]	1	
KO:K02113	ATPF1D, atpH	F-type H+-transporting ATPase subunit delta	1	
KO:K02114	ATPF1E, atpC	F-type H+-transporting ATPase subunit epsilon	1	
KO:K02115	ATPF1G, atpG	F-type H+-transporting ATPase subunit gamma	1	
KO:K02160	accB, bccP	acetyl-CoA carboxylase biotin carboxyl carrier protein	1	
KO:K02169	bioC	malonyl-CoA O-methyltransferase [EC:2.1.1.197]	1	
KO:K02217	ftnA, ftn	ferritin [EC:1.16.3.2]	1	
KO:K02221	yggT	YggT family protein	1	
KO:K02238	comEC	competence protein ComEC	1	
KO:K02242	comFC	competence protein ComFC	1	
KO:K02313	dnaA	chromosomal replication initiator protein	1	
KO:K02314	dnaB	replicative DNA helicase [EC:3.6.4.12]	1	
KO:K02316	dnaG	DNA primase [EC:2.7.7.101]	1	
KO:K02335	polA	DNA polymerase I [EC:2.7.7.7]	2	
KO:K02337	dnaE	DNA polymerase III subunit alpha [EC:2.7.7.7]	1	
KO:K02338	dnaN	DNA polymerase III subunit beta [EC:2.7.7.7]	1	
KO:K02340	holA	DNA polymerase III subunit delta [EC:2.7.7.7]	1	
KO:K02341	holB	DNA polymerase III subunit delta' [EC:2.7.7.7]	1	
KO:K02342	dnaQ	DNA polymerase III subunit epsilon [EC:2.7.7.7]	1	
KO:K02343	dnaX	DNA polymerase III subunit gamma/tau [EC:2.7.7.7]	1	
KO:K02355	fusA, GFM, EFG	elongation factor G	1	
KO:K02356	efp	elongation factor P	1	
KO:K02357	tsf, TSFM	elongation factor Ts	1	
KO:K02358	tuf, TUFM	elongation factor Tu	1	
KO:K02372	fabZ	3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]	1	
KO:K02377	TSTA3, fcl	GDP-L-fucose synthase [EC:1.1.1.271]	1	
KO:K02386	flgA	flagellar basal body P-ring formation protein FlgA	1	
KO:K02387	flgB	flagellar basal-body rod protein FlgB	1	
KO:K02388	flgC	flagellar basal-body rod protein FlgC	1	
KO:K02389	flgD	flagellar basal-body rod modification protein FlgD	1	
KO:K02390	flgE	flagellar hook protein FlgE	2	
KO:K02391	flgF	flagellar basal-body rod protein FlgF	1	
KO:K02392	flgG	flagellar basal-body rod protein FlgG	1	
KO:K02393	flgH	flagellar L-ring protein FlgH	1	
KO:K02394	flgI	flagellar P-ring protein FlgI	1	
KO:K02395	flgJ	peptidoglycan hydrolase FlgJ	1	
KO:K02396	flgK	flagellar hook-associated protein 1	1	
KO:K02397	flgL	flagellar hook-associated protein 3 FlgL	1	
KO:K02400	flhA	flagellar biosynthesis protein FlhA	1	
KO:K02401	flhB	flagellar biosynthesis protein FlhB	1	
KO:K02404	flhF	flagellar biosynthesis protein FlhF	1	
KO:K02405	fliA, whiG	RNA polymerase sigma factor FliA	1	
KO:K02406	fliC, hag	flagellin	2	
KO:K02407	fliD	flagellar hook-associated protein 2	1	
KO:K02408	fliE	flagellar hook-basal body complex protein FliE	1	
KO:K02409	fliF	flagellar M-ring protein FliF	1	
KO:K02410	fliG	flagellar motor switch protein FliG	1	
KO:K02411	fliH	flagellar assembly protein FliH	1	
KO:K02412	fliI	flagellum-specific ATP synthase [EC:7.4.2.8]	1	
KO:K02414	fliK	flagellar hook-length control protein FliK	1	
KO:K02415	fliL	flagellar protein FliL	1	
KO:K02416	fliM	flagellar motor switch protein FliM	1	
KO:K02417	fliN	flagellar motor switch protein FliN	2	
KO:K02419	fliP	flagellar biosynthesis protein FliP	1	
KO:K02420	fliQ	flagellar biosynthesis protein FliQ	1	
KO:K02421	fliR	flagellar biosynthesis protein FliR	1	
KO:K02422	fliS	flagellar secretion chaperone FliS	1	
KO:K02424	fliY, tcyA	L-cystine transport system substrate-binding protein	1	
KO:K02429	fucP	MFS transporter, FHS family, L-fucose permease	1	
KO:K02433	gatA, QRSL1	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7]	1	
KO:K02434	gatB, PET112	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]	1	
KO:K02435	gatC, GATC	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C [EC:6.3.5.6 6.3.5.7]	1	
KO:K02469	gyrA	DNA gyrase subunit A [EC:5.6.2.2]	1	
KO:K02470	gyrB	DNA gyrase subunit B [EC:5.6.2.2]	1	
KO:K02481	flgR	two-component system, NtrC family, response regulator	1	
KO:K02483	K02483	two-component system, OmpR family, response regulator	3	
KO:K02484	K02484	two-component system, OmpR family, sensor kinase [EC:2.7.13.3]	2	
KO:K02492	hemA	glutamyl-tRNA reductase [EC:1.2.1.70]	1	
KO:K02493	hemK, prmC, HEMK	release factor glutamine methyltransferase [EC:2.1.1.297]	1	
KO:K02495	hemN, hemZ	oxygen-independent coproporphyrinogen III oxidase [EC:1.3.98.3]	2	
KO:K02503	HINT1, hinT, hit	histidine triad (HIT) family protein	1	
KO:K02517	lpxL, htrB	Kdo2-lipid IVA lauroyltransferase/acyltransferase [EC:2.3.1.241 2.3.1.-]	1	
KO:K02518	infA	translation initiation factor IF-1	1	
KO:K02519	infB, MTIF2	translation initiation factor IF-2	1	
KO:K02520	infC, MTIF3	translation initiation factor IF-3	1	
KO:K02523	ispB	octaprenyl-diphosphate synthase [EC:2.5.1.90]	1	
KO:K02527	kdtA, waaA	3-deoxy-D-manno-octulosonic-acid transferase [EC:2.4.99.12 2.4.99.13 2.4.99.14 2.4.99.15]	1	
KO:K02528	ksgA	16S rRNA (adenine1518-N6/adenine1519-N6)-dimethyltransferase [EC:2.1.1.182]	1	
KO:K02535	lpxC	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase [EC:3.5.1.108]	1	
KO:K02536	lpxD	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase [EC:2.3.1.191]	1	
KO:K02556	motA	chemotaxis protein MotA	1	
KO:K02557	motB	chemotaxis protein MotB	1	
KO:K02563	murG	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase [EC:2.4.1.227]	1	
KO:K02600	nusA	transcription termination/antitermination protein NusA	1	
KO:K02601	nusG	transcription termination/antitermination protein NusG	1	
KO:K02687	prmA	ribosomal protein L11 methyltransferase [EC:2.1.1.-]	1	
KO:K02834	rbfA	ribosome-binding factor A	1	
KO:K02835	prfA, MTRF1, MRF1	peptide chain release factor 1	1	
KO:K02836	prfB	peptide chain release factor 2	1	
KO:K02838	frr, MRRF, RRF	ribosome recycling factor	1	
KO:K02841	waaC, rfaC	heptosyltransferase I [EC:2.4.-.-]	1	
KO:K02843	waaF, rfaF	heptosyltransferase II [EC:2.4.-.-]	1	
KO:K02847	waaL, rfaL	O-antigen ligase [EC:2.4.1.-]	1	
KO:K02851	wecA, tagO, rfe	UDP-GlcNAc:undecaprenyl-phosphate/decaprenyl-phosphate GlcNAc-1-phosphate transferase [EC:2.7.8.33 2.7.8.35]	1	
KO:K02860	rimM	16S rRNA processing protein RimM	1	
KO:K02863	RP-L1, MRPL1, rplA	large subunit ribosomal protein L1	1	
KO:K02864	RP-L10, MRPL10, rplJ	large subunit ribosomal protein L10	1	
KO:K02867	RP-L11, MRPL11, rplK	large subunit ribosomal protein L11	1	
KO:K02871	RP-L13, MRPL13, rplM	large subunit ribosomal protein L13	1	
KO:K02874	RP-L14, MRPL14, rplN	large subunit ribosomal protein L14	1	
KO:K02876	RP-L15, MRPL15, rplO	large subunit ribosomal protein L15	1	
KO:K02878	RP-L16, MRPL16, rplP	large subunit ribosomal protein L16	1	
KO:K02879	RP-L17, MRPL17, rplQ	large subunit ribosomal protein L17	1	
KO:K02881	RP-L18, MRPL18, rplR	large subunit ribosomal protein L18	1	
KO:K02884	RP-L19, MRPL19, rplS	large subunit ribosomal protein L19	1	
KO:K02886	RP-L2, MRPL2, rplB	large subunit ribosomal protein L2	1	
KO:K02887	RP-L20, MRPL20, rplT	large subunit ribosomal protein L20	1	
KO:K02888	RP-L21, MRPL21, rplU	large subunit ribosomal protein L21	1	
KO:K02890	RP-L22, MRPL22, rplV	large subunit ribosomal protein L22	1	
KO:K02892	RP-L23, MRPL23, rplW	large subunit ribosomal protein L23	1	
KO:K02895	RP-L24, MRPL24, rplX	large subunit ribosomal protein L24	1	
KO:K02897	RP-L25, rplY	large subunit ribosomal protein L25	1	
KO:K02899	RP-L27, MRPL27, rpmA	large subunit ribosomal protein L27	1	
KO:K02902	RP-L28, MRPL28, rpmB	large subunit ribosomal protein L28	1	
KO:K02904	RP-L29, rpmC	large subunit ribosomal protein L29	1	
KO:K02906	RP-L3, MRPL3, rplC	large subunit ribosomal protein L3	1	
KO:K02909	RP-L31, rpmE	large subunit ribosomal protein L31	1	
KO:K02911	RP-L32, MRPL32, rpmF	large subunit ribosomal protein L32	1	
KO:K02913	RP-L33, MRPL33, rpmG	large subunit ribosomal protein L33	1	
KO:K02916	RP-L35, MRPL35, rpmI	large subunit ribosomal protein L35	1	
KO:K02919	RP-L36, MRPL36, rpmJ	large subunit ribosomal protein L36	1	
KO:K02926	RP-L4, MRPL4, rplD	large subunit ribosomal protein L4	1	
KO:K02931	RP-L5, MRPL5, rplE	large subunit ribosomal protein L5	1	
KO:K02933	RP-L6, MRPL6, rplF	large subunit ribosomal protein L6	1	
KO:K02935	RP-L7, MRPL12, rplL	large subunit ribosomal protein L7/L12	1	
KO:K02939	RP-L9, MRPL9, rplI	large subunit ribosomal protein L9	1	
KO:K02945	RP-S1, rpsA	small subunit ribosomal protein S1	1	
KO:K02946	RP-S10, MRPS10, rpsJ	small subunit ribosomal protein S10	1	
KO:K02948	RP-S11, MRPS11, rpsK	small subunit ribosomal protein S11	1	
KO:K02950	RP-S12, MRPS12, rpsL	small subunit ribosomal protein S12	1	
KO:K02952	RP-S13, rpsM	small subunit ribosomal protein S13	1	
KO:K02956	RP-S15, MRPS15, rpsO	small subunit ribosomal protein S15	1	
KO:K02959	RP-S16, MRPS16, rpsP	small subunit ribosomal protein S16	1	
KO:K02961	RP-S17, MRPS17, rpsQ	small subunit ribosomal protein S17	1	
KO:K02963	RP-S18, MRPS18, rpsR	small subunit ribosomal protein S18	1	
KO:K02965	RP-S19, rpsS	small subunit ribosomal protein S19	1	
KO:K02967	RP-S2, MRPS2, rpsB	small subunit ribosomal protein S2	1	
KO:K02968	RP-S20, rpsT	small subunit ribosomal protein S20	1	
KO:K02970	RP-S21, MRPS21, rpsU	small subunit ribosomal protein S21	1	
KO:K02982	RP-S3, rpsC	small subunit ribosomal protein S3	1	
KO:K02986	RP-S4, rpsD	small subunit ribosomal protein S4	1	
KO:K02988	RP-S5, MRPS5, rpsE	small subunit ribosomal protein S5	1	
KO:K02990	RP-S6, MRPS6, rpsF	small subunit ribosomal protein S6	1	
KO:K02992	RP-S7, MRPS7, rpsG	small subunit ribosomal protein S7	1	
KO:K02994	RP-S8, rpsH	small subunit ribosomal protein S8	1	
KO:K02996	RP-S9, MRPS9, rpsI	small subunit ribosomal protein S9	1	
KO:K03040	rpoA	DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]	1	
KO:K03060	rpoZ	DNA-directed RNA polymerase subunit omega [EC:2.7.7.6]	1	
KO:K03070	secA	preprotein translocase subunit SecA [EC:7.4.2.8]	1	
KO:K03072	secD	preprotein translocase subunit SecD	1	
KO:K03073	secE	preprotein translocase subunit SecE	1	
KO:K03074	secF	preprotein translocase subunit SecF	1	
KO:K03075	secG	preprotein translocase subunit SecG	1	
KO:K03076	secY	preprotein translocase subunit SecY	1	
KO:K03086	rpoD	RNA polymerase primary sigma factor	1	
KO:K03092	rpoN	RNA polymerase sigma-54 factor	1	
KO:K03100	lepB	signal peptidase I [EC:3.4.21.89]	1	
KO:K03101	lspA	signal peptidase II [EC:3.4.23.36]	1	
KO:K03106	SRP54, ffh	signal recognition particle subunit SRP54 [EC:3.6.5.4]	1	
KO:K03110	ftsY	fused signal recognition particle receptor	1	
KO:K03111	ssb	single-strand DNA-binding protein	1	
KO:K03116	tatA	sec-independent protein translocase protein TatA	1	
KO:K03117	tatB	sec-independent protein translocase protein TatB	1	
KO:K03118	tatC	sec-independent protein translocase protein TatC	1	
KO:K03168	topA	DNA topoisomerase I [EC:5.6.2.1]	2	
KO:K03179	ubiA	4-hydroxybenzoate polyprenyltransferase [EC:2.5.1.39]	1	
KO:K03182	ubiD	4-hydroxy-3-polyprenylbenzoate decarboxylase [EC:4.1.1.98]	1	
KO:K03183	ubiE	demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.163 2.1.1.201]	1	
KO:K03186	ubiX, bsdB, PAD1	flavin prenyltransferase [EC:2.5.1.129]	1	
KO:K03187	ureE	urease accessory protein	1	
KO:K03188	ureF	urease accessory protein	1	
KO:K03189	ureG	urease accessory protein	1	
KO:K03190	ureD, ureH	urease accessory protein	1	
KO:K03191	ureI	acid-activated urea channel	1	
KO:K03196	virB11, lvhB11	type IV secretion system protein VirB11 [EC:7.4.2.8]	2	
KO:K03205	virD4, lvhD4	type IV secretion system protein VirD4 [EC:7.4.2.8]	2	
KO:K03210	yajC	preprotein translocase subunit YajC	1	
KO:K03217	yidC, spoIIIJ, OXA1, ccfA	YidC/Oxa1 family membrane protein insertase	1	
KO:K03218	rlmB	23S rRNA (guanosine2251-2'-O)-methyltransferase [EC:2.1.1.185]	1	
KO:K03269	lpxH	UDP-2,3-diacylglucosamine hydrolase [EC:3.6.1.54]	1	
KO:K03270	kdsC	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (KDO 8-P phosphatase) [EC:3.1.3.45]	1	
KO:K03271	gmhA, lpcA	D-sedoheptulose 7-phosphate isomerase [EC:5.3.1.28]	1	
KO:K03272	gmhC, hldE, waaE, rfaE	D-beta-D-heptose 7-phosphate kinase / D-beta-D-heptose 1-phosphate adenosyltransferase [EC:2.7.1.167 2.7.7.70]	1	
KO:K03273	gmhB	D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase [EC:3.1.3.82 3.1.3.83]	1	
KO:K03274	gmhD, rfaD	ADP-L-glycero-D-manno-heptose 6-epimerase [EC:5.1.3.20]	1	
KO:K03279	waaJ, rfaJ	UDP-glucose:(galactosyl)LPS alpha-1,2-glucosyltransferase [EC:2.4.1.58]	2	
KO:K03284	corA	magnesium transporter	1	
KO:K03296	TC.HAE1	hydrophobic/amphiphilic exporter-1 (mainly G- bacteria), HAE1 family	1	
KO:K03303	lctP	lactate permease	1	
KO:K03306	TC.PIT	inorganic phosphate transporter, PiT family	1	
KO:K03308	TC.NSS	neurotransmitter:Na+ symporter, NSS family	2	
KO:K03310	TC.AGCS	alanine or glycine:cation symporter, AGCS family	1	
KO:K03312	gltS	glutamate:Na+ symporter, ESS family	1	
KO:K03313	nhaA	Na+:H+ antiporter, NhaA family	1	
KO:K03317	TC.CNT	concentrative nucleoside transporter, CNT family	1	
KO:K03321	TC.SULP	sulfate permease, SulP family	1	
KO:K03342	pabBC	para-aminobenzoate synthetase / 4-amino-4-deoxychorismate lyase [EC:2.6.1.85 4.1.3.38]	1	
KO:K03386	PRDX2_4, ahpC	peroxiredoxin 2/4 [EC:1.11.1.24]	1	
KO:K03406	mcp	methyl-accepting chemotaxis protein	3	
KO:K03407	cheA	two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	1	
KO:K03408	cheW	purine-binding chemotaxis protein CheW	1	
KO:K03413	cheY	two-component system, chemotaxis family, chemotaxis protein CheY	1	
KO:K03415	cheV	two-component system, chemotaxis family, chemotaxis protein CheV	3	
KO:K03424	tatD	TatD DNase family protein [EC:3.1.21.-]	1	
KO:K03427	hsdM	type I restriction enzyme M protein [EC:2.1.1.72]	2	
KO:K03431	glmM	phosphoglucosamine mutase [EC:5.4.2.10]	1	
KO:K03438	mraW, rsmH	16S rRNA (cytosine1402-N4)-methyltransferase [EC:2.1.1.199]	1	
KO:K03439	trmB, METTL1, TRM8	tRNA (guanine-N7-)-methyltransferase [EC:2.1.1.33]	1	
KO:K03442	mscS	small conductance mechanosensitive channel	1	
KO:K03455	TC.KEF	monovalent cation:H+ antiporter-2, CPA2 family	1	
KO:K03465	thyX, thy1	thymidylate synthase (FAD) [EC:2.1.1.148]	1	
KO:K03466	ftsK, spoIIIE	DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family	1	
KO:K03469	rnhA, RNASEH1	ribonuclease HI [EC:3.1.26.4]	1	
KO:K03470	rnhB	ribonuclease HII [EC:3.1.26.4]	1	
KO:K03474	pdxJ	pyridoxine 5-phosphate synthase [EC:2.6.99.2]	1	
KO:K03495	gidA, mnmG, MTO1	tRNA uridine 5-carboxymethylaminomethyl modification enzyme	1	
KO:K03496	parA, soj	chromosome partitioning protein	3	
KO:K03497	parB, spo0J	ParB family transcriptional regulator, chromosome partitioning protein	1	
KO:K03501	gidB, rsmG	16S rRNA (guanine527-N7)-methyltransferase [EC:2.1.1.170]	1	
KO:K03517	nadA	quinolinate synthase [EC:2.5.1.72]	1	
KO:K03524	birA	BirA family transcriptional regulator, biotin operon repressor / biotin---[acetyl-CoA-carboxylase] ligase [EC:6.3.4.15]	1	
KO:K03525	coaX	type III pantothenate kinase [EC:2.7.1.33]	1	
KO:K03526	gcpE, ispG	(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase [EC:1.17.7.1 1.17.7.3]	1	
KO:K03527	ispH, lytB	4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase [EC:1.17.7.4]	1	
KO:K03530	hupB	DNA-binding protein HU-beta	1	
KO:K03531	ftsZ	cell division protein FtsZ	1	
KO:K03536	rnpA	ribonuclease P protein component [EC:3.1.26.5]	1	
KO:K03544	clpX, CLPX	ATP-dependent Clp protease ATP-binding subunit ClpX	1	
KO:K03545	tig	trigger factor	1	
KO:K03550	ruvA	holliday junction DNA helicase RuvA [EC:3.6.4.12]	1	
KO:K03551	ruvB	holliday junction DNA helicase RuvB [EC:3.6.4.12]	1	
KO:K03553	recA	recombination protein RecA	1	
KO:K03558	cvpA	membrane protein required for colicin V production	1	
KO:K03559	exbD	biopolymer transport protein ExbD	3	
KO:K03561	exbB	biopolymer transport protein ExbB	2	
KO:K03563	csrA	carbon storage regulator	1	
KO:K03564	BCP, PRXQ, DOT5	thioredoxin-dependent peroxiredoxin [EC:1.11.1.24]	1	
KO:K03569	mreB	rod shape-determining protein MreB and related proteins	1	
KO:K03570	mreC	rod shape-determining protein MreC	1	
KO:K03575	mutY	A/G-specific adenine glycosylase [EC:3.2.2.31]	1	
KO:K03587	ftsI	cell division protein FtsI (penicillin-binding protein 3) [EC:3.4.16.4]	1	
KO:K03588	ftsW, spoVE	cell division protein FtsW	1	
KO:K03590	ftsA	cell division protein FtsA	1	
KO:K03593	mrp, NUBPL	ATP-binding protein involved in chromosome partitioning	1	
KO:K03595	era, ERAL1	GTPase	1	
KO:K03596	lepA	GTP-binding protein LepA	1	
KO:K03601	xseA	exodeoxyribonuclease VII large subunit [EC:3.1.11.6]	1	
KO:K03602	xseB	exodeoxyribonuclease VII small subunit [EC:3.1.11.6]	1	
KO:K03605	hyaD, hybD	hydrogenase maturation protease [EC:3.4.23.-]	1	
KO:K03608	minE	cell division topological specificity factor	1	
KO:K03609	minD	septum site-determining protein MinD	1	
KO:K03610	minC	septum site-determining protein MinC	1	
KO:K03620	hyaC	Ni/Fe-hydrogenase 1 B-type cytochrome subunit	1	
KO:K03621	plsX	phosphate acyltransferase [EC:2.3.1.274]	1	
KO:K03624	greA	transcription elongation factor GreA	1	
KO:K03625	nusB	transcription antitermination protein NusB	1	
KO:K03628	rho	transcription termination factor Rho	1	
KO:K03631	recN	DNA repair protein RecN (Recombination protein N)	1	
KO:K03634	lolA	outer membrane lipoprotein carrier protein	1	
KO:K03635	MOCS2B, moaE	molybdopterin synthase catalytic subunit [EC:2.8.1.12]	1	
KO:K03636	moaD, cysO	sulfur-carrier protein	1	
KO:K03637	moaC, CNX3	cyclic pyranopterin monophosphate synthase [EC:4.6.1.17]	1	
KO:K03639	moaA, CNX2	GTP 3',8-cyclase [EC:4.1.99.22]	1	
KO:K03640	pal	peptidoglycan-associated lipoprotein	1	
KO:K03641	tolB	TolB protein	1	
KO:K03642	rlpA	rare lipoprotein A	1	
KO:K03648	UNG, UDG	uracil-DNA glycosylase [EC:3.2.2.27]	1	
KO:K03650	mnmE, trmE, MSS1	tRNA modification GTPase [EC:3.6.-.-]	1	
KO:K03655	recG	ATP-dependent DNA helicase RecG [EC:3.6.4.12]	1	
KO:K03657	uvrD, pcrA	DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.4.12]	2	
KO:K03664	smpB	SsrA-binding protein	1	
KO:K03667	hslU	ATP-dependent HslUV protease ATP-binding subunit HslU	1	
KO:K03671	trxA	thioredoxin 1	2	
KO:K03685	rnc, DROSHA, RNT1	ribonuclease III [EC:3.1.26.3]	1	
KO:K03686	dnaJ	molecular chaperone DnaJ	1	
KO:K03687	GRPE	molecular chaperone GrpE	1	
KO:K03694	clpA	ATP-dependent Clp protease ATP-binding subunit ClpA	1	
KO:K03695	clpB	ATP-dependent Clp protease ATP-binding subunit ClpB	1	
KO:K03701	uvrA	excinuclease ABC subunit A	1	
KO:K03702	uvrB	excinuclease ABC subunit B	1	
KO:K03703	uvrC	excinuclease ABC subunit C	1	
KO:K03705	hrcA	heat-inducible transcriptional repressor	1	
KO:K03707	tenA	thiaminase (transcriptional activator TenA) [EC:3.5.99.2]	1	
KO:K03711	fur, zur, furB	Fur family transcriptional regulator, ferric uptake regulator	1	
KO:K03723	mfd	transcription-repair coupling factor (superfamily II helicase) [EC:3.6.4.-]	1	
KO:K03750	moeA	molybdopterin molybdotransferase [EC:2.10.1.1]	1	
KO:K03752	mobA	molybdenum cofactor guanylyltransferase [EC:2.7.7.77]	1	
KO:K03760	eptA, pmrC	lipid A ethanolaminephosphotransferase [EC:2.7.8.43]	1	
KO:K03761	kgtP	MFS transporter, MHS family, alpha-ketoglutarate permease	1	
KO:K03769	ppiC	peptidyl-prolyl cis-trans isomerase C [EC:5.2.1.8]	1	
KO:K03770	ppiD	peptidyl-prolyl cis-trans isomerase D [EC:5.2.1.8]	1	
KO:K03775	slyD	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD [EC:5.2.1.8]	1	
KO:K03781	katE, CAT, catB, srpA	catalase [EC:1.11.1.6]	2	
KO:K03784	deoD	purine-nucleoside phosphorylase [EC:2.4.2.1]	1	
KO:K03786	aroQ, qutE	3-dehydroquinate dehydratase II [EC:4.2.1.10]	1	
KO:K03787	surE	5'-nucleotidase [EC:3.1.3.5]	1	
KO:K03797	E3.4.21.102, prc, ctpA	carboxyl-terminal processing protease [EC:3.4.21.102]	1	
KO:K03798	ftsH, hflB	cell division protease FtsH [EC:3.4.24.-]	2	
KO:K03799	htpX	heat shock protein HtpX [EC:3.4.24.-]	1	
KO:K03811	pnuC	nicotinamide mononucleotide transporter	1	
KO:K03820	lnt	apolipoprotein N-acyltransferase [EC:2.3.1.269]	1	
KO:K03831	mogA	molybdopterin adenylyltransferase [EC:2.7.7.75]	1	
KO:K03832	tonB	periplasmic protein TonB	2	
KO:K03837	sdaC	serine transporter	1	
KO:K03839	fldA, nifF, isiB	flavodoxin I	1	
KO:K03841	FBP, fbp	fructose-1,6-bisphosphatase I [EC:3.1.3.11]	1	
KO:K03923	mdaB	NADPH dehydrogenase (quinone) [EC:1.6.5.10]	1	
KO:K03977	engA, der	GTPase	1	
KO:K03978	engB	GTP-binding protein	1	
KO:K03979	obgE, cgtA, MTG2	GTPase [EC:3.6.5.-]	1	
KO:K03980	murJ, mviN	putative peptidoglycan lipid II flippase	1	
KO:K03981	dsbC	thiol:disulfide interchange protein DsbC [EC:5.3.4.1]	1	
KO:K04042	glmU	bifunctional UDP-N-acetylglucosamine pyrophosphorylase / glucosamine-1-phosphate N-acetyltransferase [EC:2.7.7.23 2.3.1.157]	1	
KO:K04043	dnaK, HSPA9	molecular chaperone DnaK	1	
KO:K04047	dps	starvation-inducible DNA-binding protein	1	
KO:K04061	flhB2	flagellar biosynthesis protein	1	
KO:K04066	priA	primosomal protein N' (replication factor Y) (superfamily II helicase) [EC:3.6.4.-]	1	
KO:K04075	tilS, mesJ	tRNA(Ile)-lysidine synthase [EC:6.3.4.19]	1	
KO:K04077	groEL, HSPD1	chaperonin GroEL	1	
KO:K04078	groES, HSPE1	chaperonin GroES	1	
KO:K04079	HSP90A, htpG	molecular chaperone HtpG	1	
KO:K04093	pheA1	chorismate mutase [EC:5.4.99.5]	1	
KO:K04095	fic	cell filamentation protein	1	
KO:K04096	smf	DNA processing protein	1	
KO:K04485	radA, sms	DNA repair protein RadA/Sms	2	
KO:K04487	iscS, NFS1	cysteine desulfurase [EC:2.8.1.7]	1	
KO:K04517	tyrA2	prephenate dehydrogenase [EC:1.3.1.12]	1	
KO:K04562	flhG, fleN	flagellar biosynthesis protein FlhG	1	
KO:K04564	SOD2	superoxide dismutase, Fe-Mn family [EC:1.15.1.1]	1	
KO:K04567	KARS, lysS	lysyl-tRNA synthetase, class II [EC:6.1.1.6]	1	
KO:K04651	hypA, hybF	hydrogenase nickel incorporation protein HypA/HybF	1	
KO:K04652	hypB	hydrogenase nickel incorporation protein HypB	1	
KO:K04653	hypC	hydrogenase expression/formation protein HypC	1	
KO:K04654	hypD	hydrogenase expression/formation protein HypD	1	
KO:K04655	hypE	hydrogenase expression/formation protein HypE	1	
KO:K04656	hypF	hydrogenase maturation protein HypF	1	
KO:K04744	lptD, imp, ostA	LPS-assembly protein	1	
KO:K04758	feoA	ferrous iron transport protein A	1	
KO:K04759	feoB	ferrous iron transport protein B	1	
KO:K04763	xerD	integrase/recombinase XerD	1	
KO:K04771	degP, htrA	serine protease Do [EC:3.4.21.107]	1	
KO:K04773	sppA	protease IV [EC:3.4.21.-]	1	
KO:K05366	mrcA	penicillin-binding protein 1A [EC:2.4.1.129 3.4.16.4]	1	
KO:K05515	mrdA	penicillin-binding protein 2 [EC:3.4.16.4]	1	
KO:K05516	cbpA	curved DNA-binding protein	1	
KO:K05540	dusB	tRNA-dihydrouridine synthase B [EC:1.-.-.-]	1	
KO:K05592	deaD, cshA	ATP-dependent RNA helicase DeaD [EC:3.6.4.13]	1	
KO:K05807	bamD	outer membrane protein assembly factor BamD	1	
KO:K05847	opuA	osmoprotectant transport system ATP-binding protein [EC:7.6.2.9]	1	
KO:K05922	hydB	quinone-reactive Ni/Fe-hydrogenase large subunit [EC:1.12.5.1]	1	
KO:K05927	hydA	quinone-reactive Ni/Fe-hydrogenase small subunit [EC:1.12.5.1]	1	
KO:K06013	STE24	STE24 endopeptidase [EC:3.4.24.84]	1	
KO:K06041	kdsD, kpsF	arabinose-5-phosphate isomerase [EC:5.3.1.13]	1	
KO:K06132	clsC	cardiolipin synthase C [EC:2.7.8.-]	1	
